cal_r,cal_g,cal_b,L_star,a_star,b_star,hue,sat,val,delta_e,temperature_c,humidity_pct,strip_age_days,dose_ppm_min
152.35,135.43,112.48,57.4,2.63,14.68,34.0,26.3,59.6,39.07,31.9,59.9,33.5,454.9
59.21,42.03,30.78,18.77,6.2,10.47,24.0,47.5,23.1,77.45,32.6,42.9,13.2,1793.0
62.73,45.72,30.74,20.35,5.48,12.67,28.0,51.0,24.7,75.9,25.7,57.1,54.9,1760.5
146.08,126.67,104.49,54.26,3.86,14.82,32.0,28.6,57.3,42.28,25.6,68.3,41.2,524.8
129.25,112.33,89.72,48.36,2.93,15.02,34.0,30.2,50.6,48.08,20.2,62.5,32.2,671.4
60.52,47.6,31.65,20.68,3.22,12.45,34.0,47.5,23.9,75.45,23.6,47.7,33.5,1766.9
244.18,240.75,221.71,94.86,-2.06,9.6,52.0,9.0,95.7,2.87,31.8,53.3,50.2,0.0
248.12,242.96,224.04,95.76,-1.44,9.73,48.0,9.8,97.3,2.09,29.3,45.7,56.0,0.0
65.56,50.69,34.78,22.32,4.11,12.65,30.0,47.1,25.9,73.86,35.0,54.0,11.8,1467.7
152.57,131.79,110.17,56.39,4.44,14.6,30.0,28.2,60.0,40.2,27.8,40.3,33.5,509.9
205.84,192.59,170.83,78.46,1.06,12.64,38.0,16.9,80.8,17.92,23.4,37.9,47.7,195.4
245.09,239.22,221.73,94.55,-0.96,9.15,44.0,9.4,96.1,2.06,15.0,28.8,52.2,0.0
169.85,154.35,131.36,64.49,1.92,14.15,36.0,23.1,66.7,31.96,32.8,48.8,47.8,364.2
58.42,40.91,28.55,18.27,6.25,11.31,24.0,49.8,22.7,77.98,22.6,60.4,2.3,1894.7
125.96,110.02,88.72,47.37,2.73,14.2,34.0,29.4,49.4,48.96,18.1,49.4,1.1,725.7
194.06,180.08,157.65,73.94,1.28,13.25,36.0,18.4,76.1,22.48,23.7,52.4,31.9,244.9
179.43,163.76,139.75,68.01,1.77,14.54,36.0,22.0,70.2,28.56,26.0,46.1,39.3,328.7
56.52,39.13,27.29,17.44,6.34,11.02,24.0,52.5,22.4,78.8,30.7,41.3,40.1,1994.1
53.58,37.44,25.85,16.49,5.8,10.68,24.0,51.8,21.2,79.7,29.0,63.9,38.9,1990.8
208.22,199.21,175.63,80.46,-0.79,12.93,44.0,15.3,81.6,16.08,31.8,45.7,43.9,159.4
52.01,38.39,24.59,16.55,4.17,11.59,28.0,51.8,20.4,79.58,33.6,60.1,18.8,1956.0
139.04,119.81,96.12,51.53,3.66,15.78,34.0,31.0,54.5,45.09,30.9,55.6,38.6,578.8
166.45,147.46,126.45,62.24,3.64,13.71,32.0,23.9,65.1,34.23,24.1,52.9,17.8,405.2
181.08,167.08,143.43,69.11,1.16,14.07,38.0,21.2,71.0,27.37,27.5,43.2,15.6,310.6
51.68,35.39,23.23,15.54,5.89,11.19,24.0,55.7,20.4,80.67,35.7,63.7,21.3,1953.0
57.91,40.9,29.35,18.21,6.11,10.67,24.0,49.8,22.7,78.01,30.8,51.7,17.4,1760.0
72.92,54.92,36.39,24.54,5.18,14.68,30.0,50.6,28.6,71.84,25.1,56.8,36.2,1467.5
244.27,240.4,223.92,94.83,-1.49,8.42,48.0,8.2,95.7,2.38,21.6,55.2,44.0,0.0
72.52,56.46,39.03,25.01,4.32,13.58,30.0,46.7,28.6,71.24,29.1,35.4,46.8,1489.3
246.54,239.87,221.62,94.82,-0.81,9.61,44.0,10.2,96.9,1.87,28.5,57.3,49.7,0.0
101.66,82.67,60.5,36.51,4.4,15.97,32.0,41.2,40.0,60.02,24.3,33.2,9.8,1039.5
126.03,106.27,83.29,46.22,4.18,15.82,32.0,34.1,49.4,50.38,26.7,66.8,21.3,676.0
86.65,66.84,48.89,29.98,5.75,14.16,28.0,43.5,34.1,66.43,23.9,37.6,43.4,1279.4
103.42,86.04,61.46,37.69,3.28,16.98,36.0,40.8,40.4,58.92,26.2,40.9,4.3,960.7
119.76,100.24,78.72,43.8,4.38,15.13,30.0,34.1,47.1,52.7,17.1,55.0,30.9,803.9
116.41,94.32,72.76,41.66,5.62,15.74,30.0,37.3,45.5,55.0,25.6,73.6,32.3,779.3
79.03,59.82,43.04,26.88,5.83,13.62,28.0,45.5,31.0,69.48,31.6,63.8,47.3,1257.6
243.82,239.66,223.16,94.59,-1.4,8.47,48.0,8.6,95.7,2.42,39.2,69.5,24.7,0.0
218.96,212.01,188.71,84.9,-1.51,12.39,46.0,13.7,85.9,11.78,36.2,45.7,47.6,109.1
68.24,51.57,36.91,22.96,5.15,12.16,30.0,45.5,26.7,73.26,29.4,51.3,12.4,1476.1
111.41,93.26,69.03,40.75,3.53,16.66,34.0,37.6,43.5,55.86,27.3,49.1,48.1,870.0
214.76,204.55,185.12,82.58,0.29,10.95,40.0,14.1,84.3,13.56,23.1,56.5,45.4,131.2
94.69,77.26,58.11,34.12,4.22,14.11,30.0,38.8,37.3,62.2,17.2,42.9,36.2,1154.3
224.91,217.88,198.89,87.09,-0.79,10.2,44.0,11.4,88.2,9.08,37.2,33.3,39.9,78.1
108.06,88.82,68.01,39.11,4.57,15.01,32.0,36.9,42.4,57.35,31.3,46.4,34.0,859.9
245.49,240.13,221.77,94.81,-1.28,9.51,46.0,9.4,96.1,2.2,26.9,53.3,17.5,0.0
121.32,98.97,80.2,43.64,6.02,14.05,28.0,33.7,47.5,52.89,30.2,64.9,54.7,747.2
111.72,92.59,70.59,40.63,4.28,15.57,32.0,36.5,43.9,55.89,20.6,50.9,19.5,876.0
59.18,42.85,30.27,19.0,5.55,11.13,26.0,49.0,23.1,77.19,28.5,51.1,38.8,1815.9
96.18,75.95,55.13,33.85,5.31,15.62,30.0,42.7,37.6,62.69,35.2,52.7,57.1,1025.2
202.66,193.52,168.98,78.39,-0.88,13.51,44.0,16.9,79.6,18.23,27.0,71.8,39.2,175.2
52.17,39.12,27.74,16.87,4.19,9.86,28.0,46.3,20.4,79.22,29.2,57.6,36.3,1990.3
244.88,240.49,221.62,94.85,-1.7,9.63,46.0,9.4,96.1,2.56,24.8,33.0,24.1,0.0
234.7,228.23,210.33,90.73,-0.82,9.51,44.0,10.6,92.2,5.46,26.5,53.8,57.4,38.7
109.57,91.13,69.02,39.95,3.99,15.57,32.0,37.3,43.1,56.54,21.8,36.3,5.0,936.8
97.24,78.69,57.37,34.81,4.41,15.53,34.0,41.2,38.0,61.66,31.3,62.3,52.6,991.5
246.8,241.28,221.87,95.19,-1.39,10.02,46.0,10.2,96.9,2.3,28.2,64.0,11.1,0.0
181.2,166.64,143.59,69.01,1.47,13.84,38.0,20.4,71.0,27.44,26.9,20.8,3.8,334.1
93.64,75.4,55.3,33.41,4.5,14.87,30.0,41.6,36.9,62.99,35.7,54.7,15.4,966.2
128.17,111.32,87.65,47.93,2.76,15.63,34.0,31.4,50.2,48.58,31.3,43.6,12.1,664.7
196.22,184.12,162.7,75.28,0.72,12.43,38.0,16.9,76.9,21.0,34.4,51.0,49.0,208.4
104.05,83.8,62.45,37.13,5.06,15.66,32.0,40.4,40.8,59.42,34.6,47.8,26.4,890.5
80.84,63.85,44.17,28.32,4.26,14.83,32.0,45.5,31.8,68.03,20.6,48.1,45.1,1378.6
70.97,51.43,34.8,23.22,6.3,13.95,26.0,50.6,27.8,73.18,35.8,71.8,23.4,1347.9
113.25,92.68,72.11,40.85,5.12,14.98,30.0,36.5,44.3,55.67,33.3,63.4,57.6,803.9
243.76,241.07,223.92,94.96,-2.01,8.6,52.0,8.2,95.7,2.75,27.9,58.4,46.1,0.0
85.18,66.71,48.16,29.75,5.04,14.3,30.0,43.5,33.3,66.62,24.9,61.6,18.4,1146.7
126.71,108.36,86.39,46.93,3.68,14.98,32.0,32.2,49.8,49.54,16.2,71.9,39.4,707.7
207.17,197.12,173.67,79.8,-0.39,13.03,42.0,16.1,81.2,16.72,38.8,46.6,22.8,153.8
212.39,205.18,182.04,82.48,-1.39,12.42,46.0,14.1,83.1,14.07,24.2,72.0,24.0,130.9
215.76,207.79,185.09,83.48,-1.04,12.26,44.0,14.5,84.7,13.03,30.4,56.6,43.3,120.5
225.59,218.97,198.59,87.41,-1.16,10.83,44.0,11.8,88.6,8.94,19.8,34.8,45.2,87.0
130.03,112.19,89.9,48.4,3.37,14.98,34.0,30.6,51.0,48.06,27.6,60.3,9.3,637.3
150.43,132.02,107.0,56.18,2.97,16.1,34.0,28.6,58.8,40.52,37.3,38.6,38.9,504.5
245.57,239.59,222.85,94.7,-0.8,8.8,44.0,9.4,96.5,1.85,28.9,71.6,8.0,0.0
224.13,211.45,191.43,85.23,1.07,11.48,36.0,14.9,87.8,11.07,32.5,52.7,18.7,94.4
236.46,230.0,212.54,91.36,-0.75,9.28,44.0,9.8,92.5,4.81,29.9,60.8,18.9,35.5
69.2,53.35,36.76,23.61,4.43,13.14,30.0,46.3,27.1,72.61,25.5,53.9,49.8,1550.2
184.99,171.45,145.61,70.65,0.63,15.08,38.0,21.2,72.5,26.07,26.5,53.8,28.3,280.7
153.16,133.09,108.56,56.76,3.72,16.05,32.0,28.6,60.0,40.0,31.8,34.9,9.2,496.9
61.4,45.63,31.26,20.17,4.93,12.05,30.0,49.0,23.9,76.02,28.7,50.0,59.5,1748.0
106.98,91.44,70.69,39.81,2.88,14.31,34.0,33.7,42.0,56.49,32.4,70.5,55.8,818.8
64.6,43.26,29.21,19.83,7.88,13.06,24.0,55.3,25.5,76.63,34.8,60.6,29.2,1572.0
133.11,113.78,89.56,49.15,3.7,16.24,34.0,32.2,52.2,47.51,33.2,49.8,21.5,611.1
56.34,40.44,29.49,17.87,5.66,10.08,24.0,48.2,22.0,78.31,39.3,54.7,49.3,1763.8
105.01,86.84,64.06,38.14,3.86,16.04,34.0,39.2,41.2,58.38,36.0,32.5,13.2,895.6
110.04,89.42,70.39,39.55,5.42,14.19,28.0,36.5,43.1,56.9,25.4,45.4,40.1,904.6
246.08,238.01,220.35,94.29,-0.23,9.51,42.0,10.6,96.5,1.93,30.7,76.5,23.9,4.0
75.51,56.97,40.46,25.55,5.64,13.44,28.0,47.5,29.8,70.78,32.0,40.1,44.1,1442.7
209.48,201.34,180.71,81.23,-0.65,11.32,42.0,13.3,82.0,15.0,27.4,44.6,22.5,148.8
242.22,241.1,219.94,94.76,-3.2,10.36,58.0,9.0,94.9,4.13,29.0,67.0,37.5,0.0
245.57,240.51,221.8,94.91,-1.44,9.64,48.0,9.8,96.5,2.32,21.0,61.2,57.6,0.0
186.51,170.85,149.61,70.71,2.15,12.99,34.0,19.6,73.3,25.66,22.0,61.8,25.8,276.9
59.38,40.66,27.5,18.3,6.78,12.09,26.0,54.1,23.1,78.01,28.0,49.2,9.6,1827.3
238.63,232.17,210.43,92.03,-1.44,11.35,46.0,12.2,93.7,5.0,26.2,74.4,15.1,30.2
233.5,229.67,206.02,90.91,-2.67,11.99,54.0,11.8,91.4,6.7,15.0,54.1,58.4,49.5
207.06,192.42,173.3,78.57,1.99,11.49,34.0,16.5,81.2,17.67,26.0,50.0,20.2,175.1
101.26,80.94,59.07,35.94,5.09,16.08,32.0,41.6,39.6,60.65,30.8,34.9,8.4,993.8
173.61,156.53,130.54,65.39,2.08,15.91,36.0,24.7,68.2,31.42,26.9,59.4,54.3,374.5
187.43,175.33,150.94,71.99,0.29,14.08,40.0,19.2,73.3,24.54,26.4,59.3,6.9,254.1
64.51,49.12,34.77,21.7,4.64,11.82,28.0,46.3,25.5,74.47,21.9,74.7,45.5,1571.2
241.32,233.01,212.57,92.5,-0.58,10.93,42.0,11.8,94.5,4.14,29.1,29.2,9.6,22.4
85.37,68.55,48.08,30.31,3.96,15.1,34.0,43.5,33.3,66.06,22.5,41.8,27.4,1260.7
72.77,54.91,36.45,24.52,5.13,14.61,30.0,50.6,28.6,71.85,32.9,35.3,45.0,1482.4
69.27,50.08,31.48,22.53,5.95,15.17,30.0,54.9,27.1,73.93,28.6,41.2,58.9,1653.7
128.31,110.2,85.55,47.59,3.18,16.4,34.0,32.9,50.2,49.05,18.7,73.7,41.6,698.9
96.25,76.8,58.91,34.18,5.33,13.72,30.0,38.4,37.6,62.19,25.8,55.9,4.9,1030.9
53.84,39.82,27.34,17.3,4.5,10.74,28.0,49.8,21.2,78.82,30.4,68.8,41.3,1860.3
105.06,86.91,62.03,38.12,3.57,17.26,34.0,40.8,41.2,58.55,28.3,83.9,36.0,845.3
58.83,39.56,27.09,17.89,7.19,11.8,24.0,54.1,23.1,78.45,35.5,43.1,42.6,1849.7
96.85,75.95,54.75,33.92,5.57,15.96,30.0,43.1,38.0,62.67,28.5,52.8,26.4,1011.0
131.71,116.65,89.32,49.8,1.41,17.25,40.0,32.5,51.8,46.94,26.2,43.7,28.7,659.3
136.76,119.15,93.39,51.07,2.69,16.7,36.0,32.2,53.7,45.64,27.3,62.7,37.7,595.8
243.55,241.25,218.2,94.86,-3.09,11.41,54.0,10.6,95.7,4.47,33.0,65.9,57.0,0.0
69.83,52.77,36.4,23.51,5.07,13.26,30.0,48.6,27.5,72.76,30.7,67.7,34.1,1371.5
240.69,232.07,214.0,92.24,-0.09,9.82,40.0,11.4,94.5,3.89,24.2,46.1,10.4,26.8
177.87,164.57,141.63,68.13,1.01,13.65,38.0,20.4,69.8,28.26,24.8,47.9,22.7,322.7
70.89,51.36,35.74,23.2,6.43,13.31,26.0,49.4,27.8,73.17,18.2,48.4,21.2,1632.4
243.75,240.6,222.7,94.81,-1.97,9.02,52.0,8.6,95.7,2.74,36.0,60.5,56.5,0.0
122.22,102.73,78.86,44.75,4.0,16.38,34.0,35.3,47.8,51.9,20.5,57.1,9.0,769.8
129.26,109.93,85.69,47.61,3.76,16.36,34.0,33.3,50.6,49.05,33.1,44.5,36.5,663.2
60.16,45.32,29.82,19.88,4.33,12.62,30.0,50.2,23.5,76.3,30.2,31.3,25.8,1791.5
73.31,55.79,40.04,24.92,5.28,12.83,30.0,45.1,28.6,71.34,27.8,62.1,12.8,1342.7
198.04,184.97,164.99,75.71,1.31,11.81,36.0,16.5,77.6,20.5,22.4,52.9,46.8,218.8
235.66,227.63,207.76,90.6,-0.59,10.67,42.0,11.8,92.5,5.76,33.3,33.5,39.3,42.2
218.39,210.64,189.69,84.53,-0.85,11.33,46.0,12.9,85.5,11.78,28.4,58.0,46.0,108.1
69.85,49.75,36.21,22.6,7.04,12.19,24.0,48.6,27.5,73.76,29.1,56.3,6.0,1491.8
223.92,215.99,196.84,86.49,-0.5,10.41,42.0,12.2,87.8,9.67,34.8,51.5,20.8,79.6
244.23,243.38,222.32,95.54,-3.27,10.26,58.0,9.0,95.7,4.0,33.1,42.3,31.4,0.0
79.66,62.35,45.39,27.75,4.83,13.28,30.0,43.9,31.4,68.52,27.7,69.3,33.6,1198.6
224.39,216.54,197.54,86.68,-0.5,10.32,44.0,11.8,87.8,9.47,36.6,45.7,40.4,79.6
98.35,80.59,58.78,35.51,3.94,15.62,34.0,39.6,38.4,60.95,25.0,31.4,29.9,1055.2
197.27,186.98,162.64,76.11,-0.42,13.65,42.0,17.3,77.3,20.45,37.0,81.0,57.8,186.4
99.21,81.71,57.45,35.9,3.47,16.97,36.0,42.4,38.8,60.7,26.3,76.6,4.3,913.6
61.56,41.73,32.04,19.02,7.74,10.01,20.0,48.2,24.3,77.33,25.6,54.4,27.0,1779.3
102.03,83.28,62.34,36.76,4.44,15.19,32.0,39.2,40.0,59.69,20.2,70.5,46.5,977.4
235.68,228.87,210.79,90.98,-0.73,9.63,44.0,10.6,92.5,5.21,22.9,52.2,57.0,36.2
243.75,237.94,220.5,94.1,-0.98,9.14,46.0,9.8,95.7,2.41,30.4,56.4,15.6,6.7
245.59,238.28,222.67,94.37,-0.16,8.42,40.0,9.4,96.5,1.85,31.9,53.0,9.1,0.0
98.36,80.86,58.45,35.58,3.73,15.92,34.0,40.8,38.4,60.9,27.9,49.2,17.1,1014.1
232.85,227.65,209.37,90.42,-1.32,9.55,48.0,10.2,91.4,5.9,24.9,62.6,14.3,41.9
124.56,101.75,83.61,44.82,6.25,13.7,26.0,32.9,49.0,51.72,19.1,46.3,33.3,793.9
224.48,215.99,195.39,86.5,-0.53,11.2,44.0,12.9,87.8,9.81,19.5,30.7,38.7,98.4
132.18,112.5,88.01,48.67,3.83,16.49,34.0,33.3,51.8,48.03,23.4,60.2,24.4,641.5
57.01,45.57,29.64,19.57,2.53,12.24,36.0,47.5,22.4,76.53,27.1,39.8,7.4,1842.5
100.82,82.75,59.41,36.41,3.82,16.49,34.0,41.6,39.6,60.15,27.8,42.6,35.2,985.6
133.01,112.53,90.39,48.81,4.5,15.3,32.0,32.2,52.2,47.78,19.0,41.6,26.7,707.9
120.14,101.75,78.74,44.26,3.65,15.75,34.0,34.1,47.1,52.27,27.4,43.7,19.0,761.9
126.5,107.54,85.15,46.66,3.9,15.33,34.0,32.5,49.4,49.86,27.2,50.0,34.9,692.0
245.76,237.28,222.86,94.14,0.44,7.99,36.0,9.4,96.5,2.12,32.0,57.2,57.8,0.0
114.34,93.55,70.86,41.18,4.9,16.2,32.0,37.6,44.7,55.47,17.7,38.0,6.2,943.5
96.77,76.83,57.99,34.23,5.43,14.37,30.0,40.4,38.0,62.2,17.8,56.9,40.8,1108.7
238.53,231.1,213.33,91.82,-0.46,9.54,42.0,11.0,93.7,4.32,17.4,55.9,7.1,29.1
244.3,240.01,221.77,94.68,-1.63,9.32,50.0,9.0,95.7,2.53,26.8,47.1,40.8,0.0
230.27,221.76,202.42,88.58,-0.33,10.52,42.0,12.2,90.2,7.62,24.6,74.1,48.8,60.6
116.9,97.59,78.96,42.76,4.75,13.52,30.0,32.5,45.9,53.6,26.2,40.0,4.1,812.2
106.23,85.06,65.35,37.79,5.66,14.81,30.0,38.8,41.6,58.73,24.4,30.2,4.7,999.1
219.88,210.12,188.21,84.48,-0.27,12.07,42.0,14.5,86.3,11.95,32.1,52.7,46.6,108.7
72.71,54.58,37.73,24.44,5.47,13.68,30.0,47.8,28.6,71.88,27.0,78.8,29.6,1339.0
167.59,152.95,128.45,63.85,1.36,14.85,38.0,23.9,65.9,32.69,28.6,65.8,41.7,366.8
124.61,107.32,87.51,46.46,3.56,13.63,30.0,29.4,49.0,49.85,26.3,85.0,22.6,637.1
217.63,209.66,187.44,84.16,-0.97,12.0,44.0,14.1,85.5,12.3,22.7,46.3,1.6,118.8
106.5,91.58,65.69,39.69,1.89,17.16,40.0,37.6,41.6,56.92,31.6,39.0,44.8,900.5
73.79,51.41,36.29,23.61,7.89,13.55,24.0,51.4,29.0,72.91,22.3,60.0,47.6,1552.2
185.68,171.98,149.77,70.93,1.25,13.21,36.0,19.2,72.9,25.43,26.8,63.5,18.4,264.8
243.61,238.52,221.06,94.24,-1.23,9.05,46.0,9.4,95.7,2.47,21.6,79.2,26.3,0.0
243.55,240.98,220.95,94.85,-2.52,9.98,52.0,9.4,95.7,3.38,22.7,50.0,40.7,0.0
197.37,183.19,160.88,75.1,1.36,13.17,36.0,18.4,77.3,21.33,23.1,50.3,22.3,221.1
88.69,70.24,50.3,31.24,4.75,15.0,30.0,43.9,34.9,65.18,21.0,70.7,59.8,1177.9
55.77,40.21,26.87,17.67,5.16,11.59,26.0,51.8,22.0,78.51,23.1,60.5,24.7,1981.4
241.79,235.88,217.16,93.35,-1.14,9.78,46.0,10.2,94.9,3.21,25.7,62.2,2.6,15.0
210.33,200.54,178.13,81.03,-0.33,12.43,44.0,15.3,82.4,15.38,37.6,37.8,6.6,138.7
133.02,115.04,90.34,49.5,3.04,16.27,34.0,32.2,52.2,47.13,31.6,42.5,23.6,622.7
67.36,50.54,34.88,22.5,5.12,12.86,30.0,47.8,26.3,73.75,25.9,85.0,58.7,1500.2
141.92,121.74,100.4,52.43,4.36,14.58,32.0,29.4,55.7,44.1,25.7,61.4,37.1,564.0
169.33,152.75,130.37,63.99,2.45,14.0,36.0,23.1,66.3,32.46,27.9,33.1,16.6,394.9
243.43,242.23,221.99,95.18,-3.02,9.91,58.0,8.6,95.3,3.73,33.9,42.3,22.9,0.0
231.05,222.56,201.31,88.81,-0.64,11.45,44.0,12.9,90.6,7.68,33.1,51.6,18.6,59.6
52.07,36.45,24.56,15.95,5.53,10.82,24.0,51.8,20.4,80.23,36.9,51.5,11.6,1977.2
135.46,115.81,93.69,50.02,4.11,15.07,32.0,30.2,52.9,46.52,25.8,48.1,48.4,658.4
83.77,63.33,45.25,28.53,6.14,14.5,28.0,46.3,32.9,67.93,27.6,48.9,53.6,1284.8
72.74,57.36,37.96,25.28,3.71,14.64,32.0,47.8,28.6,71.02,16.9,52.9,15.4,1570.0
222.84,216.22,195.64,86.43,-1.19,10.95,44.0,12.2,87.5,9.91,23.8,47.5,15.8,93.0
225.09,218.49,193.67,87.14,-1.87,13.02,46.0,13.7,88.2,10.01,18.9,45.2,33.1,98.7
69.28,49.17,36.14,22.36,7.14,11.88,24.0,47.8,27.1,73.99,25.7,62.1,11.7,1466.5
195.75,181.46,159.45,74.48,1.46,13.05,36.0,18.8,76.9,21.92,27.0,70.3,23.2,209.6
59.06,42.49,30.25,18.88,5.74,10.97,24.0,49.0,23.1,77.32,31.5,52.0,12.3,1729.5
118.1,95.85,73.34,42.28,5.53,16.26,30.0,38.0,46.3,54.44,31.7,62.7,36.8,747.7
73.16,53.8,37.4,24.25,6.16,13.66,28.0,49.4,28.6,72.12,32.1,36.9,27.0,1460.9
222.25,213.15,192.72,85.54,-0.28,11.22,42.0,12.9,87.1,10.72,30.8,47.0,11.3,93.9
208.45,198.34,176.52,80.28,-0.11,12.2,40.0,14.9,81.6,16.05,36.8,49.7,32.5,149.2
195.77,183.65,158.42,75.03,0.14,14.38,42.0,19.2,76.9,21.65,28.6,66.5,14.2,216.9
190.24,177.53,152.17,72.83,0.36,14.62,42.0,20.0,74.5,23.84,20.7,63.0,51.2,278.9
237.34,230.72,212.24,91.61,-0.86,9.79,46.0,10.6,92.9,4.66,29.3,38.4,33.6,33.2
236.97,230.92,210.72,91.59,-1.34,10.56,46.0,11.0,92.9,5.03,27.5,66.2,22.3,35.4
62.58,45.14,30.74,20.16,5.79,12.42,26.0,51.0,24.7,76.1,37.3,57.0,30.5,1540.5
197.07,186.21,163.77,75.92,0.09,12.76,40.0,16.9,77.3,20.43,21.9,61.3,1.0,214.2
73.88,57.45,40.51,25.5,4.54,13.31,30.0,44.7,29.0,70.75,21.8,39.5,49.9,1602.0
90.17,72.98,51.68,32.24,3.92,15.49,34.0,42.4,35.3,64.18,32.1,63.5,52.1,1071.9
137.72,119.52,96.87,51.33,3.37,15.06,34.0,29.8,54.1,45.17,34.8,54.5,1.6,550.0
159.75,142.74,120.2,60.23,2.66,14.34,34.0,25.1,62.7,36.23,23.7,66.4,55.3,441.3
246.04,238.14,223.76,94.4,0.24,7.9,38.0,9.0,96.5,1.96,43.9,70.2,33.3,0.0
228.08,219.42,201.46,87.79,-0.05,9.88,40.0,11.8,89.4,8.28,27.1,53.9,15.9,66.0
117.74,98.08,77.47,42.95,4.61,14.69,30.0,34.9,46.3,53.51,16.8,51.4,13.1,858.2
59.25,45.38,28.44,19.76,3.64,13.35,32.0,52.5,23.1,76.43,24.8,59.8,3.0,1782.9
96.95,77.9,56.83,34.53,4.69,15.49,32.0,41.2,38.0,61.95,35.7,62.1,52.8,969.5
226.55,220.17,201.26,87.86,-1.02,10.07,44.0,11.4,89.0,8.35,24.1,51.0,14.5,70.7
209.05,199.75,175.33,80.66,-0.82,13.39,44.0,16.1,82.0,16.01,32.6,33.7,38.3,161.1
63.14,48.14,30.09,21.14,3.98,14.14,32.0,52.5,24.7,75.12,16.7,64.7,29.1,1745.2
81.86,63.04,42.76,28.17,5.09,15.56,30.0,47.5,32.2,68.3,40.8,44.9,9.4,1150.0
144.38,125.35,98.48,53.61,3.05,17.36,36.0,31.8,56.5,43.28,43.5,49.1,32.5,503.8
154.75,138.97,115.43,58.65,2.06,14.77,36.0,25.9,60.8,37.83,29.2,32.4,42.9,491.9
190.84,181.43,155.32,73.97,-1.01,14.51,44.0,18.8,74.9,22.76,26.6,73.2,36.3,229.0
67.45,52.89,37.77,23.28,4.01,12.0,32.0,43.1,26.3,72.87,37.6,79.3,18.2,1256.7
91.33,69.94,53.27,31.52,6.57,13.56,26.0,41.6,35.7,64.93,33.1,40.4,10.8,1088.4
115.88,95.52,74.57,41.98,4.91,15.08,30.0,35.3,45.5,54.54,34.5,49.3,18.9,757.5
152.56,134.56,112.39,57.19,3.19,14.44,34.0,26.7,60.0,39.28,19.0,33.0,31.0,548.9
68.23,50.68,35.3,22.65,5.52,12.81,30.0,48.6,26.7,73.62,28.9,57.8,16.7,1504.5
100.02,79.98,59.93,35.54,5.23,14.99,30.0,40.0,39.2,60.94,18.0,33.6,8.6,1123.9
58.97,44.45,28.76,19.44,4.17,12.71,30.0,51.0,23.1,76.74,21.1,54.9,43.8,1869.4
61.53,44.55,31.78,19.86,5.8,11.3,26.0,48.2,24.3,76.36,25.9,65.7,1.9,1614.4
244.78,239.18,221.68,94.51,-1.06,9.13,44.0,9.4,96.1,2.16,31.1,60.3,42.6,0.0
203.9,187.07,165.79,76.77,2.49,12.94,34.0,18.8,80.0,19.73,20.7,44.9,1.8,212.9
102.08,83.2,61.72,36.73,4.43,15.53,32.0,39.2,40.0,59.76,20.2,50.3,5.1,1000.6
58.63,41.37,27.82,18.42,5.96,12.01,26.0,52.5,23.1,77.83,20.3,47.2,32.0,1986.7
74.89,54.94,37.09,24.8,6.23,14.62,28.0,50.6,29.4,71.65,18.5,61.5,11.3,1479.4
70.9,53.15,35.77,23.74,5.27,14.0,30.0,49.4,27.8,72.59,27.9,59.2,39.7,1475.0
81.32,61.02,44.47,27.54,6.35,13.63,28.0,45.5,31.8,68.87,18.9,60.5,7.1,1312.2
97.46,77.46,55.54,34.44,5.03,16.17,30.0,42.4,38.0,62.14,30.8,62.6,9.2,964.7
130.81,109.47,86.85,47.67,4.85,15.78,30.0,33.7,51.4,49.0,23.7,57.8,17.8,666.6
245.35,239.1,221.7,94.54,-0.82,9.15,44.0,9.4,96.1,1.97,16.6,44.2,20.2,0.0
157.23,140.75,117.23,59.4,2.33,14.82,36.0,25.5,61.6,37.11,30.6,36.2,19.4,453.0
179.72,161.53,137.84,67.41,2.81,14.76,34.0,23.5,70.6,29.26,29.6,47.5,1.6,325.3
121.76,101.84,78.45,44.44,4.27,16.2,32.0,36.1,47.8,52.2,36.4,48.4,50.8,734.7
139.28,121.01,96.89,51.9,3.18,15.84,34.0,30.2,54.5,44.71,20.0,54.3,49.7,634.5
77.28,61.42,42.49,27.14,3.89,14.27,32.0,45.5,30.2,69.14,29.4,60.3,25.6,1236.4
53.3,38.43,26.0,16.76,5.0,10.93,26.0,51.0,20.8,79.39,38.1,77.6,21.1,1760.4
54.72,41.49,27.18,17.94,3.79,11.7,30.0,51.0,21.6,78.18,26.1,70.3,23.1,1806.4
189.76,175.06,150.42,72.11,1.24,14.56,38.0,21.2,74.5,24.54,30.6,57.8,9.7,247.6
176.82,161.33,134.98,67.04,1.37,15.79,38.0,23.9,69.4,29.76,31.1,45.3,6.2,324.9
93.6,74.32,54.45,33.07,5.04,14.95,30.0,42.7,36.9,63.37,25.9,69.0,3.9,1031.1
244.3,238.5,222.01,94.31,-0.83,8.67,46.0,9.0,95.7,2.18,15.0,75.8,57.0,0.0
80.3,62.79,43.67,27.93,4.62,14.63,32.0,45.1,31.4,68.43,26.5,62.8,41.3,1263.4
193.1,177.8,157.14,73.25,2.06,12.55,34.0,18.8,75.7,23.08,26.1,67.4,42.4,231.9
106.02,86.66,66.84,38.25,4.81,14.52,30.0,36.9,41.6,58.17,23.8,53.4,25.6,910.8
170.78,154.41,130.9,64.58,2.18,14.54,34.0,23.5,67.1,31.95,22.7,55.0,4.5,379.0
