chemical_state_id,image_id,split,dose_ppm_min,cal_r,cal_g,cal_b,L_star,a_star,b_star,hue,sat,val,delta_e,uniformity_score,noise_std,temperature_c,humidity_pct,strip_age_days
CHEM-TR-0103,img_train_0103_var05,train,535.77,144.1,128.3,103.3,54.5,1.91,15.78,36.0,28.6,56.5,42.07,0.959,1.44,19.8,54.9,30.7
CHEM-TR-0103,img_train_0103_var06,train,535.77,146.2,129.0,104.7,54.91,2.63,15.59,34.0,28.6,57.3,41.67,0.1,33.12,31.5,54.5,21.9
CHEM-TR-0103,img_train_0103_var07,train,535.77,144.9,129.3,104.5,54.86,1.91,15.6,38.0,27.8,56.5,41.69,0.498,17.55,31.9,38.1,8.3
CHEM-TR-0103,img_train_0103_var08,train,535.77,150.0,141.0,126.0,59.01,0.7,9.21,38.0,16.1,58.8,36.99,0.236,26.75,28.0,31.8,28.1
CHEM-TR-0103,img_train_0103_var09,train,535.77,141.4,125.4,103.2,53.44,2.49,14.37,34.0,27.1,55.3,42.94,0.275,25.36,33.6,38.9,30.7
CHEM-TR-0103,img_train_0103_var10,train,535.77,132.4,117.7,97.5,50.34,2.28,13.22,34.0,26.7,51.8,45.89,0.277,25.31,26.1,35.5,33.8
CHEM-TR-0104,img_train_0104_var01,train,574.07,135.7,119.5,96.9,51.15,2.55,14.74,36.0,29.0,52.9,45.26,0.183,28.61,26.4,31.7,7.8
CHEM-TR-0104,img_train_0104_var02,train,574.07,142.3,123.0,98.5,52.78,3.53,16.17,34.0,31.0,55.7,43.92,0.979,0.75,27.7,42.2,34.2
CHEM-TR-0104,img_train_0104_var03,train,574.07,141.2,128.4,145.3,55.35,8.16,-7.34,286.0,11.8,56.9,44.48,0.1,34.22,29.6,56.2,34.1
CHEM-TR-0104,img_train_0104_var04,train,574.07,144.3,123.9,101.2,53.26,4.27,15.3,30.0,29.8,56.5,43.37,0.1,36.11,31.6,78.4,35.4
CHEM-TR-0104,img_train_0104_var05,train,574.07,136.9,120.1,97.5,51.43,2.8,14.83,36.0,28.6,53.3,45.01,0.445,19.43,31.4,42.3,27.0
CHEM-TR-0104,img_train_0104_var06,train,574.07,136.5,119.4,97.0,51.19,2.95,14.77,34.0,28.6,53.3,45.25,0.172,29.0,20.8,66.7,13.5
CHEM-TR-0104,img_train_0104_var07,train,574.07,141.1,122.2,98.1,52.44,3.4,15.92,34.0,30.6,55.3,44.2,0.399,21.02,33.5,34.9,13.4
CHEM-TR-0104,img_train_0104_var08,train,574.07,145.0,134.0,123.0,56.59,2.18,7.41,30.0,15.3,56.9,39.48,0.18,28.69,21.5,71.6,4.7
CHEM-TR-0104,img_train_0104_var09,train,574.07,140.1,121.7,97.9,52.19,3.29,15.69,34.0,30.6,54.9,44.41,0.946,1.9,26.9,71.4,20.0
CHEM-TR-0104,img_train_0104_var10,train,574.07,141.1,123.1,98.9,52.69,3.01,15.8,34.0,30.6,55.3,43.91,0.169,29.08,34.5,76.9,26.1
CHEM-TR-0105,img_train_0105_var01,train,1591.14,67.1,48.9,33.7,21.95,5.93,12.94,26.0,50.6,26.3,74.35,0.985,0.51,20.9,37.6,28.7
CHEM-TR-0105,img_train_0105_var02,train,1591.14,61.5,44.8,29.1,19.87,5.26,13.09,28.0,52.5,23.9,76.39,0.1,54.14,26.0,71.2,30.9
CHEM-TR-0105,img_train_0105_var05,train,1591.14,61.0,43.5,29.8,19.43,5.99,12.08,26.0,52.5,23.9,76.83,0.959,1.45,25.5,33.6,20.5
CHEM-TR-0105,img_train_0105_var06,train,1591.14,66.8,47.8,34.3,21.58,6.54,12.04,24.0,48.6,25.9,74.73,0.986,0.48,24.0,38.4,5.8
CHEM-TR-0105,img_train_0105_var07,train,1591.14,65.5,47.8,32.3,21.37,5.73,13.01,28.0,50.6,25.5,74.92,0.1,37.87,30.8,69.9,22.7
CHEM-TR-0105,img_train_0105_var09,train,1591.14,66.0,48.4,32.2,21.63,5.5,13.45,28.0,51.4,25.9,74.67,0.952,1.67,31.6,70.3,20.9
CHEM-TR-0105,img_train_0105_var10,train,1591.14,56.7,39.0,23.7,17.36,6.08,13.37,30.0,58.8,22.0,78.96,0.1,51.23,24.2,50.4,28.8
CHEM-TR-0106,img_train_0106_var01,train,640.5,128.1,111.9,89.3,48.1,2.64,14.92,34.0,30.6,50.2,48.31,0.1,32.45,23.9,40.1,12.2
CHEM-TR-0106,img_train_0106_var02,train,640.5,132.6,115.2,91.0,49.51,2.85,15.89,36.0,31.0,51.8,47.06,0.1,31.65,29.1,36.5,14.9
CHEM-TR-0106,img_train_0106_var03,train,640.5,142.5,124.9,149.2,54.67,11.42,-10.61,284.0,16.9,58.4,47.03,0.1,37.94,24.4,69.3,31.1
CHEM-TR-0106,img_train_0106_var04,train,640.5,139.9,118.9,95.0,51.33,4.37,16.19,32.0,32.5,54.5,45.41,0.1,38.73,21.0,43.7,27.2
CHEM-TR-0106,img_train_0106_var05,train,640.5,128.5,111.4,89.5,48.02,3.12,14.64,34.0,30.6,50.2,48.38,0.349,22.8,21.5,31.0,18.9
CHEM-TR-0106,img_train_0106_var06,train,640.5,128.6,111.7,88.9,48.1,2.95,15.12,34.0,31.4,50.2,48.35,0.1,34.05,23.1,59.4,35.9
CHEM-TR-0106,img_train_0106_var07,train,640.5,129.6,112.9,90.3,48.57,2.84,14.98,34.0,30.2,50.6,47.86,0.42,20.32,30.6,79.8,27.2
CHEM-TR-0106,img_train_0106_var08,train,640.5,137.0,127.0,113.0,53.7,1.31,8.98,36.0,17.6,53.7,42.31,0.109,31.18,22.0,36.8,31.9
CHEM-TR-0106,img_train_0106_var09,train,640.5,128.5,111.2,88.7,47.95,3.14,15.04,34.0,31.4,50.2,48.5,0.147,29.86,25.7,65.6,32.1
CHEM-TR-0106,img_train_0106_var10,train,640.5,122.0,104.4,82.3,45.26,3.39,15.02,34.0,32.2,47.5,51.18,0.1,36.35,19.9,58.2,23.0
CHEM-TR-0107,img_train_0107_var01,train,937.01,104.4,84.6,64.3,37.44,4.96,14.92,30.0,38.4,40.8,59.03,0.1,51.72,34.4,77.2,18.7
CHEM-TR-0107,img_train_0107_var02,train,937.01,98.3,80.6,60.9,35.54,4.24,14.35,32.0,38.8,38.4,60.81,0.1,38.55,31.7,77.3,14.7
CHEM-TR-0107,img_train_0107_var03,train,937.01,108.8,88.6,100.0,39.97,10.41,-3.42,328.0,18.4,42.4,58.24,0.983,0.59,20.9,35.2,5.8
CHEM-TR-0107,img_train_0107_var04,train,937.01,101.8,80.6,60.5,35.94,5.75,15.18,30.0,40.8,39.6,60.6,0.1,53.02,29.8,39.8,12.9
CHEM-TR-0107,img_train_0107_var05,train,937.01,102.3,82.5,62.0,36.57,4.96,15.15,30.0,40.4,40.0,59.91,0.961,1.37,32.4,47.1,10.5
CHEM-TR-0107,img_train_0107_var06,train,937.01,99.4,80.7,61.9,35.72,4.77,14.03,30.0,38.4,38.8,60.64,0.1,43.08,32.6,78.2,16.1
CHEM-TR-0107,img_train_0107_var07,train,937.01,102.8,83.0,62.6,36.79,4.99,15.08,32.0,39.2,40.0,59.69,0.211,27.61,28.2,42.9,5.2
CHEM-TR-0107,img_train_0107_var08,train,937.01,107.0,90.0,77.0,39.54,4.71,10.09,26.0,27.8,42.0,56.63,0.1,40.42,28.3,64.1,29.4
CHEM-TR-0107,img_train_0107_var09,train,937.01,102.7,84.2,63.1,37.1,4.29,15.2,32.0,38.4,40.0,59.35,0.953,1.64,23.8,38.1,20.8
CHEM-TR-0107,img_train_0107_var10,train,937.01,98.9,81.4,60.7,35.86,3.92,14.94,34.0,38.8,38.4,60.53,0.1,36.41,22.6,35.3,36.3
CHEM-TR-0108,img_train_0108_var01,train,1253.38,77.5,60.4,42.0,26.84,4.59,14.21,32.0,46.7,30.2,69.48,0.1,48.42,24.3,32.9,31.8
CHEM-TR-0108,img_train_0108_var02,train,1253.38,81.7,63.5,44.6,28.32,4.94,14.56,30.0,45.5,31.8,68.05,0.1,47.82,32.2,72.9,38.8
CHEM-TR-0108,img_train_0108_var03,train,1253.38,83.3,71.0,96.7,32.3,10.9,-13.19,270.0,27.1,37.6,68.25,0.1,54.64,24.7,39.8,30.8
CHEM-TR-0108,img_train_0108_var05,train,1253.38,81.7,62.5,42.3,27.97,5.33,15.6,30.0,48.2,31.8,68.52,0.96,1.39,33.3,40.7,17.2
CHEM-TR-0108,img_train_0108_var07,train,1253.38,81.9,62.7,42.4,28.07,5.24,15.68,30.0,48.2,31.8,68.42,0.1,35.13,22.3,47.9,19.8
CHEM-TR-0108,img_train_0108_var09,train,1253.38,76.2,59.9,40.8,26.52,4.14,14.51,32.0,47.5,29.8,69.79,0.1,43.65,19.2,41.7,30.7
CHEM-TR-0108,img_train_0108_var10,train,1253.38,81.5,62.1,43.0,27.86,5.51,15.01,30.0,48.2,31.8,68.59,0.1,47.41,22.0,75.4,33.1
CHEM-TR-0109,img_train_0109_var01,train,747.15,122.0,102.6,79.9,44.72,4.11,15.73,32.0,35.3,47.8,51.85,0.989,0.39,24.4,44.0,30.7
CHEM-TR-0109,img_train_0109_var02,train,747.15,117.4,99.1,78.4,43.21,4.0,14.46,32.0,33.3,45.9,53.19,0.1,32.86,19.6,53.2,7.2
CHEM-TR-0109,img_train_0109_var03,train,747.15,130.2,115.1,151.7,51.05,13.42,-17.66,264.0,23.9,59.2,53.83,0.982,0.64,29.3,57.4,19.8
CHEM-TR-0109,img_train_0109_var04,train,747.15,126.4,105.0,81.6,45.87,4.88,16.35,30.0,35.7,49.4,50.85,0.1,44.22,24.0,31.1,14.1
CHEM-TR-0109,img_train_0109_var05,train,747.15,115.6,99.2,76.8,43.04,2.91,15.18,36.0,33.7,45.1,53.37,0.266,25.68,27.6,47.1,24.8
CHEM-TR-0109,img_train_0109_var06,train,747.15,117.7,99.5,78.9,43.38,3.94,14.4,32.0,33.3,45.9,53.01,0.1,35.28,19.7,33.0,22.3
CHEM-TR-0109,img_train_0109_var07,train,747.15,121.4,102.0,78.2,44.45,3.99,16.36,34.0,35.7,47.5,52.19,0.968,1.12,22.9,37.2,8.8
CHEM-TR-0109,img_train_0109_var08,train,747.15,133.0,118.0,102.0,50.57,3.07,10.94,30.0,23.1,52.2,45.54,0.1,42.44,27.6,53.8,9.7
CHEM-TR-0109,img_train_0109_var09,train,747.15,121.5,102.2,79.9,44.55,4.11,15.5,32.0,34.9,47.5,51.98,0.955,1.57,23.2,48.5,26.1
CHEM-TR-0109,img_train_0109_var10,train,747.15,109.0,91.4,69.5,39.99,3.64,15.31,34.0,36.9,42.7,56.45,0.1,36.36,19.5,32.3,20.9
CHEM-TR-0110,img_train_0110_var01,train,510.15,149.4,131.9,107.9,56.06,2.78,15.39,34.0,28.2,58.4,40.51,0.983,0.61,20.3,38.8,19.1
CHEM-TR-0110,img_train_0110_var02,train,510.15,149.9,131.9,107.0,56.1,2.84,15.96,34.0,28.2,58.4,40.57,0.979,0.74,26.8,55.8,37.6
CHEM-TR-0110,img_train_0110_var03,train,510.15,149.7,132.0,90.2,55.78,0.46,25.02,42.0,39.6,58.4,43.29,0.985,0.52,31.9,55.6,21.1
CHEM-TR-0110,img_train_0110_var04,train,510.15,157.0,134.1,112.1,57.48,5.22,15.09,30.0,28.6,61.6,39.28,0.985,0.54,31.3,75.6,15.7
CHEM-TR-0110,img_train_0110_var05,train,510.15,145.4,128.5,106.0,54.72,2.79,14.57,34.0,27.1,56.9,41.72,0.462,18.85,26.1,58.4,12.4
CHEM-TR-0110,img_train_0110_var06,train,510.15,149.9,131.6,107.6,56.03,3.07,15.54,34.0,28.2,58.4,40.58,0.149,29.78,21.8,34.1,34.9
CHEM-TR-0110,img_train_0110_var07,train,510.15,147.9,130.8,108.1,55.63,2.79,14.65,34.0,26.7,57.6,40.83,0.494,17.69,20.9,42.5,10.1
CHEM-TR-0110,img_train_0110_var08,train,510.15,155.0,148.0,136.0,61.59,0.42,7.26,38.0,12.2,60.8,34.45,0.1,32.49,33.6,50.4,19.4
CHEM-TR-0110,img_train_0110_var09,train,510.15,145.6,129.3,106.5,54.98,2.47,14.67,36.0,27.1,56.9,41.46,0.335,23.26,26.2,31.1,16.9
CHEM-TR-0110,img_train_0110_var10,train,510.15,141.5,123.5,100.5,52.88,3.17,15.12,34.0,29.0,55.3,43.63,0.932,2.37,34.1,51.9,24.1
CHEM-TR-0111,img_train_0111_var01,train,1095.1,87.1,68.6,50.7,30.56,5.11,13.8,30.0,42.4,34.1,65.78,0.1,43.79,26.7,40.7,32.7
CHEM-TR-0111,img_train_0111_var02,train,1095.1,90.5,72.8,52.5,32.24,4.29,15.03,32.0,42.4,35.3,64.16,0.1,46.95,30.4,33.5,6.3
CHEM-TR-0111,img_train_0111_var03,train,1095.1,105.3,102.6,164.6,46.12,16.35,-33.03,242.0,37.6,64.3,67.12,0.1,52.92,34.6,47.9,27.1
CHEM-TR-0111,img_train_0111_var05,train,1095.1,86.9,68.0,49.7,30.36,5.25,14.21,30.0,43.1,33.7,66.02,0.1,32.82,24.7,62.3,5.8
CHEM-TR-0111,img_train_0111_var06,train,1095.1,87.2,68.9,50.6,30.66,4.96,14.01,30.0,42.4,34.1,65.68,0.1,44.57,19.4,77.2,15.9
CHEM-TR-0111,img_train_0111_var07,train,1095.1,86.7,68.7,48.7,30.51,4.59,14.99,32.0,44.3,33.7,65.89,0.152,29.69,30.3,73.3,15.4
CHEM-TR-0111,img_train_0111_var09,train,1095.1,86.5,69.2,49.4,30.67,4.25,14.78,32.0,43.1,33.7,65.69,0.1,38.98,33.1,61.9,15.6
CHEM-TR-0111,img_train_0111_var10,train,1095.1,78.6,60.7,42.3,27.08,4.97,14.34,30.0,46.3,30.6,69.27,0.1,40.43,29.3,61.6,25.2
CHEM-TR-0112,img_train_0112_var01,train,101.89,219.3,210.5,191.8,84.61,-0.11,10.34,40.0,12.9,85.9,11.48,0.581,14.68,24.3,34.7,32.5
CHEM-TR-0112,img_train_0112_var02,train,101.89,218.8,210.0,191.0,84.43,-0.18,10.52,42.0,12.9,85.5,11.69,0.98,0.71,30.8,58.9,23.2
CHEM-TR-0112,img_train_0112_var03,train,101.89,219.7,211.0,195.4,84.84,0.38,8.76,38.0,11.0,85.9,11.16,0.978,0.77,19.2,75.4,22.7
CHEM-TR-0112,img_train_0112_var04,train,101.89,231.6,223.7,205.6,89.23,-0.34,9.79,42.0,11.4,90.6,6.87,0.594,14.22,28.2,71.0,18.6
CHEM-TR-0112,img_train_0112_var05,train,101.89,218.3,210.4,189.4,84.45,-0.79,11.36,44.0,13.3,85.5,11.86,0.955,1.59,33.2,59.9,30.8
CHEM-TR-0112,img_train_0112_var06,train,101.89,220.9,212.0,190.8,85.1,-0.47,11.61,44.0,13.7,86.3,11.25,0.611,13.61,33.8,69.3,13.9
CHEM-TR-0112,img_train_0112_var07,train,101.89,219.0,211.1,191.9,84.75,-0.54,10.47,44.0,12.5,85.5,11.39,0.967,1.17,24.1,55.3,35.6
CHEM-TR-0112,img_train_0112_var09,train,101.89,221.5,212.5,190.6,85.28,-0.55,11.97,42.0,14.1,86.7,11.17,0.943,1.99,30.9,33.3,29.6
CHEM-TR-0112,img_train_0112_var10,train,101.89,211.0,204.2,186.7,82.22,-0.64,9.55,46.0,11.4,82.4,13.84,0.312,24.06,25.9,35.6,10.7
CHEM-TR-0113,img_train_0113_var01,train,117.65,216.7,208.4,186.4,83.74,-0.79,11.91,44.0,13.7,84.7,12.67,0.593,14.26,22.2,50.7,26.7
CHEM-TR-0113,img_train_0113_var02,train,117.65,217.3,208.0,187.0,83.72,-0.3,11.61,42.0,14.1,85.1,12.58,0.979,0.74,23.3,78.5,10.4
CHEM-TR-0113,img_train_0113_var04,train,117.65,227.4,219.9,200.0,87.81,-0.77,10.68,42.0,12.2,89.0,8.46,0.99,0.36,28.2,63.6,17.8
CHEM-TR-0113,img_train_0113_var05,train,117.65,213.7,205.1,185.8,82.66,-0.3,10.68,42.0,13.3,83.5,13.47,0.951,1.73,23.6,38.7,6.0
CHEM-TR-0113,img_train_0113_var06,train,117.65,217.2,207.9,186.6,83.66,-0.35,11.74,40.0,14.1,85.1,12.67,0.638,12.66,28.8,35.2,26.0
CHEM-TR-0113,img_train_0113_var07,train,117.65,218.0,210.2,190.5,84.39,-0.61,10.7,44.0,12.5,85.1,11.79,0.967,1.14,22.5,48.1,36.9
CHEM-TR-0113,img_train_0113_var09,train,117.65,214.2,207.1,187.4,83.23,-0.88,10.68,44.0,12.5,83.9,12.95,0.666,11.68,21.9,64.2,37.6
CHEM-TR-0113,img_train_0113_var10,train,117.65,218.7,209.8,190.8,84.37,-0.14,10.55,40.0,12.9,85.5,11.75,0.981,0.66,33.4,63.1,4.2
CHEM-TR-0114,img_train_0114_var01,train,521.36,147.7,131.4,106.8,55.74,2.18,15.58,36.0,27.8,57.6,40.83,0.1,32.2,28.3,65.7,16.4
CHEM-TR-0114,img_train_0114_var02,train,521.36,143.9,127.8,106.1,54.4,2.54,14.05,34.0,25.9,56.1,41.96,0.27,25.56,26.7,78.8,25.3
CHEM-TR-0114,img_train_0114_var03,train,521.36,147.3,131.6,110.9,55.86,2.54,13.35,34.0,25.1,57.6,40.43,0.1,33.23,29.4,55.4,26.1
CHEM-TR-0114,img_train_0114_var04,train,521.36,159.2,137.6,113.9,58.67,4.38,15.76,32.0,29.0,62.4,38.14,0.113,31.03,29.7,34.8,32.4
CHEM-TR-0114,img_train_0114_var05,train,521.36,146.8,130.2,105.8,55.33,2.33,15.56,36.0,28.2,57.3,41.24,0.962,1.34,23.2,79.7,17.3
CHEM-TR-0114,img_train_0114_var06,train,521.36,148.3,130.9,107.3,55.67,2.82,15.2,34.0,27.8,58.0,40.87,0.117,30.9,27.2,70.8,27.7
CHEM-TR-0114,img_train_0114_var07,train,521.36,145.3,130.1,107.4,55.18,2.04,14.4,36.0,26.3,56.9,41.2,0.47,18.56,20.8,39.1,26.7
CHEM-TR-0114,img_train_0114_var08,train,521.36,154.0,150.0,133.0,61.98,-1.58,9.5,48.0,13.7,60.4,34.09,0.1,33.31,29.3,74.2,12.1
CHEM-TR-0114,img_train_0114_var09,train,521.36,143.7,128.1,106.2,54.46,2.3,14.06,36.0,25.9,56.1,41.89,0.301,24.46,29.4,62.5,16.6
CHEM-TR-0114,img_train_0114_var10,train,521.36,148.4,131.0,107.0,55.7,2.73,15.39,34.0,27.8,58.0,40.86,0.238,26.68,25.9,49.7,37.2
CHEM-TR-0115,img_train_0115_var01,train,195.29,201.0,189.9,167.2,77.28,0.11,12.88,40.0,16.5,78.4,19.12,0.553,15.63,25.8,54.3,21.7
CHEM-TR-0115,img_train_0115_var02,train,195.29,203.5,190.5,167.5,77.65,0.78,13.3,38.0,17.6,79.6,18.85,0.981,0.65,29.6,74.9,35.5
CHEM-TR-0115,img_train_0115_var03,train,195.29,201.1,190.1,178.1,77.59,1.81,7.41,32.0,11.4,78.8,18.52,0.985,0.54,31.4,30.2,32.7
CHEM-TR-0115,img_train_0115_var04,train,195.29,222.7,209.4,185.7,84.46,0.74,13.42,38.0,16.9,87.1,12.36,0.989,0.37,34.1,75.8,15.8
CHEM-TR-0115,img_train_0115_var05,train,195.29,197.0,187.0,165.2,76.14,-0.11,12.3,40.0,16.1,77.3,20.14,0.965,1.21,20.8,46.0,25.8
CHEM-TR-0115,img_train_0115_var06,train,195.29,200.8,190.1,166.8,77.3,-0.1,13.1,42.0,16.9,78.4,19.15,0.594,14.22,27.0,53.8,5.9
CHEM-TR-0115,img_train_0115_var07,train,195.29,197.7,188.6,167.7,76.68,-0.33,11.72,42.0,15.3,77.3,19.53,0.966,1.21,22.0,31.8,4.0
CHEM-TR-0115,img_train_0115_var08,train,195.29,197.0,198.0,198.0,79.8,-0.34,-0.12,180.0,0.4,77.6,18.61,0.983,0.58,27.5,39.9,30.0
CHEM-TR-0115,img_train_0115_var09,train,195.29,200.5,189.9,166.6,77.22,-0.1,13.09,40.0,16.9,78.4,19.23,0.938,2.17,32.1,39.6,27.2
CHEM-TR-0115,img_train_0115_var10,train,195.29,188.4,179.8,160.4,73.45,-0.21,10.97,40.0,14.9,73.7,22.65,0.378,21.76,32.0,50.2,33.3
CHEM-TR-0116,img_train_0116_var01,train,1504.53,69.6,52.9,35.4,23.51,4.73,13.91,30.0,49.4,27.1,72.78,0.983,0.61,26.3,47.1,17.5
CHEM-TR-0116,img_train_0116_var02,train,1504.53,63.2,48.3,31.5,21.22,4.07,13.34,32.0,51.0,24.7,74.99,0.1,48.98,24.8,46.2,4.1
CHEM-TR-0116,img_train_0116_var03,train,1504.53,76.3,62.0,87.6,28.63,11.85,-13.0,274.0,28.6,34.1,71.77,0.981,0.66,33.8,37.6,25.8
CHEM-TR-0116,img_train_0116_var05,train,1504.53,68.7,51.5,34.8,22.94,5.16,13.55,30.0,50.2,26.7,73.35,0.1,38.24,31.3,53.5,5.9
CHEM-TR-0116,img_train_0116_var06,train,1504.53,69.5,51.8,35.6,23.18,5.42,13.36,28.0,49.4,27.1,73.12,0.986,0.5,30.6,51.5,28.1
CHEM-TR-0116,img_train_0116_var07,train,1504.53,63.4,47.7,30.4,21.04,4.4,13.84,30.0,52.5,24.7,75.22,0.1,34.97,33.5,57.8,21.8
CHEM-TR-0116,img_train_0116_var09,train,1504.53,63.9,47.5,32.3,21.07,5.07,12.59,30.0,49.0,24.7,75.16,0.1,45.76,19.3,39.8,18.8
CHEM-TR-0116,img_train_0116_var10,train,1504.53,63.8,46.9,30.4,20.85,5.15,13.6,30.0,52.5,24.7,75.43,0.1,46.74,23.3,64.8,10.0
CHEM-TR-0117,img_train_0117_var01,train,54.04,230.7,223.7,205.7,89.18,-0.68,9.7,44.0,11.0,90.2,6.96,0.587,14.47,27.1,48.2,16.7
CHEM-TR-0117,img_train_0117_var02,train,54.04,230.3,222.2,205.6,88.77,-0.06,9.11,40.0,11.0,90.2,7.25,0.974,0.9,31.5,32.9,34.8
CHEM-TR-0117,img_train_0117_var04,train,54.04,231.7,230.2,220.7,91.23,-1.14,4.78,54.0,4.7,90.6,6.58,0.547,15.84,21.3,48.5,10.8
CHEM-TR-0117,img_train_0117_var05,train,54.04,229.2,222.7,205.4,88.8,-0.72,9.27,42.0,10.6,89.8,7.31,0.957,1.52,21.1,43.3,5.8
CHEM-TR-0117,img_train_0117_var06,train,54.04,232.0,223.4,204.8,89.18,-0.19,10.17,42.0,11.8,90.6,6.95,0.593,14.23,32.2,39.4,25.5
CHEM-TR-0117,img_train_0117_var07,train,54.04,232.2,225.7,207.6,89.83,-0.84,9.6,44.0,10.6,91.0,6.34,0.9,3.51,19.4,35.5,20.0
CHEM-TR-0117,img_train_0117_var09,train,54.04,231.1,223.8,206.3,89.23,-0.44,9.45,40.0,11.0,90.6,6.85,0.655,12.09,24.4,63.5,29.0
CHEM-TR-0117,img_train_0117_var10,train,54.04,216.9,213.3,199.2,85.31,-1.23,7.39,50.0,7.8,84.7,10.95,0.274,25.42,32.0,39.4,9.9
CHEM-TR-0118,img_train_0118_var01,train,0.0,245.0,239.1,222.4,94.52,-0.83,8.75,46.0,9.0,95.7,2.01,0.45,19.26,26.9,53.7,17.5
CHEM-TR-0118,img_train_0118_var02,train,0.0,239.5,240.6,221.9,94.46,-3.54,8.87,64.0,7.8,94.1,4.33,0.988,0.43,33.5,46.5,19.3
CHEM-TR-0118,img_train_0118_var03,train,0.0,244.9,241.0,213.5,94.8,-3.25,13.79,54.0,12.5,95.7,6.2,0.868,4.61,24.6,76.5,37.0
CHEM-TR-0118,img_train_0118_var05,train,0.0,245.0,239.9,223.4,94.74,-1.05,8.55,46.0,8.6,95.7,2.05,0.961,1.36,30.1,72.9,20.5
CHEM-TR-0118,img_train_0118_var06,train,0.0,244.7,240.0,222.0,94.73,-1.46,9.27,50.0,9.0,95.7,2.35,0.509,17.2,25.7,76.2,14.1
CHEM-TR-0118,img_train_0118_var07,train,0.0,244.5,239.8,225.1,94.73,-0.91,7.65,44.0,7.8,95.7,2.33,0.963,1.28,26.2,42.4,36.4
CHEM-TR-0118,img_train_0118_var09,train,0.0,243.7,239.4,223.8,94.54,-1.22,8.07,48.0,8.2,95.3,2.44,0.602,13.92,29.2,30.5,32.8
CHEM-TR-0118,img_train_0118_var10,train,0.0,245.1,242.9,227.7,95.62,-1.86,7.63,50.0,7.5,96.1,2.76,0.978,0.77,26.7,43.2,15.7
CHEM-TR-0119,img_train_0119_var01,train,1590.08,66.7,49.1,33.4,21.94,5.55,13.09,30.0,49.8,25.9,74.34,0.988,0.44,19.3,35.0,33.6
CHEM-TR-0119,img_train_0119_var02,train,1590.08,61.1,44.9,31.0,19.92,5.23,11.9,28.0,51.0,23.9,76.28,0.1,52.8,27.8,67.9,11.3
CHEM-TR-0119,img_train_0119_var05,train,1590.08,62.2,44.5,29.5,19.9,5.86,12.9,28.0,53.3,24.3,76.39,0.96,1.4,29.0,42.3,17.2
CHEM-TR-0119,img_train_0119_var06,train,1590.08,62.3,46.0,31.4,20.39,5.18,12.27,28.0,49.8,24.3,75.83,0.1,54.87,27.5,71.1,35.5
CHEM-TR-0119,img_train_0119_var07,train,1590.08,65.9,47.8,31.0,21.4,5.67,13.98,30.0,53.7,25.5,74.94,0.1,37.11,28.1,55.8,34.8
CHEM-TR-0119,img_train_0119_var09,train,1590.08,65.6,47.0,31.8,21.15,6.17,13.08,28.0,52.2,25.5,75.18,0.947,1.87,29.8,57.4,16.7
CHEM-TR-0119,img_train_0119_var10,train,1590.08,52.9,36.7,22.4,16.09,5.55,12.5,28.0,57.6,20.4,80.15,0.1,47.95,21.1,56.8,25.5
CHEM-TR-0120,img_train_0120_var01,train,1101.67,86.2,69.0,50.1,30.59,4.32,14.21,32.0,42.0,33.7,65.73,0.1,47.62,21.0,35.1,38.5
CHEM-TR-0120,img_train_0120_var02,train,1101.67,91.6,71.8,51.2,32.03,5.26,15.55,30.0,43.9,35.7,64.48,0.1,46.79,28.8,53.1,15.0
CHEM-TR-0120,img_train_0120_var03,train,1101.67,92.1,81.4,112.9,36.77,11.44,-16.42,262.0,27.8,43.9,65.38,0.982,0.61,33.0,51.3,37.3
CHEM-TR-0120,img_train_0120_var04,train,1101.67,91.8,70.1,50.3,31.55,6.33,15.51,30.0,45.1,35.7,65.04,0.988,0.44,34.8,73.5,6.5
CHEM-TR-0120,img_train_0120_var05,train,1101.67,90.7,72.5,51.2,32.14,4.41,15.67,32.0,43.1,35.3,64.33,0.958,1.48,21.5,62.2,24.0
CHEM-TR-0120,img_train_0120_var06,train,1101.67,91.5,73.0,53.1,32.42,4.7,14.87,32.0,41.6,35.7,63.99,0.1,48.9,32.4,65.3,32.8
CHEM-TR-0120,img_train_0120_var07,train,1101.67,90.8,72.0,51.1,32.0,4.78,15.58,30.0,43.1,35.3,64.48,0.1,39.45,22.3,72.9,19.7
CHEM-TR-0120,img_train_0120_var08,train,1101.67,93.0,79.0,65.0,34.6,3.4,10.44,30.0,30.2,36.5,61.49,0.1,51.89,21.8,39.0,31.2
CHEM-TR-0120,img_train_0120_var09,train,1101.67,86.8,68.3,49.1,30.42,4.92,14.64,30.0,43.1,33.7,65.97,0.1,40.18,32.2,58.5,24.5
CHEM-TR-0120,img_train_0120_var10,train,1101.67,76.6,59.0,41.4,26.31,4.99,13.84,30.0,45.9,29.8,70.0,0.1,37.26,30.1,74.8,16.3
CHEM-TR-0121,img_train_0121_var01,train,0.0,245.0,239.6,222.7,94.66,-1.05,8.83,46.0,9.0,95.7,2.06,0.5,17.49,22.2,65.7,21.8
CHEM-TR-0121,img_train_0121_var02,train,0.0,238.6,238.2,222.3,93.81,-2.61,7.73,60.0,6.7,93.3,4.01,0.983,0.59,19.1,49.1,18.1
